country,years,no_cars
Venezuela,2016,3
Venezuela,2015,18
Venezuela,2014,20
Finland,2014,46
Finland,2016,48
Netherlands,2012,66
Netherlands,2013,68
Romania,2001,69
Romania,2000,72
Austria,2009,72
Venezuela,2013,72
Netherlands,2009,77
Finland,2015,80
Austria,2016,92
Finland,2017,92
Netherlands,2010,94
Netherlands,2014,95
Austria,2017,99
Venezuela,2011,102
Venezuela,2010,104
Venezuela,2012,104
Austria,2010,105
Netherlands,2011,110
Venezuela,2009,112
Finland,2018,112
Austria,2015,121
Portugal,2009,126
Netherlands,2008,132
Netherlands,2015,133
Venezuela,2008,135
Netherlands,2007,139
Austria,2003,140
Austria,2000,141
Austria,2012,143
Portugal,2016,143
Austria,2002,151
Austria,2008,151
Austria,2014,151
Sweden,2009,152
Austria,2011,153
Portugal,2013,154
Austria,2001,155
Venezuela,2005,155
Australia,2016,156
Portugal,2015,157
Argentina,2002,159
Netherlands,2006,159
Portugal,2010,159
Portugal,2014,162
Portugal,2012,164
Austria,2018,164
Netherlands,2016,165
Austria,2013,167
Australia,2015,168
Argentina,2003,170
Venezuela,2006,172
Venezuela,2007,172
Portugal,2008,175
Australia,2014,175
Portugal,2007,176
Portugal,2017,176
Netherlands,2005,181
Taiwan,2008,183
Sweden,2014,188
Portugal,2011,192
Sweden,2013,199
Sweden,2012,200
Sweden,2010,208
Australia,2013,211
Slovakia,2005,218
Netherlands,2003,219
Australia,2011,219
Portugal,2005,221
Australia,2012,221
Australia,2009,223
Taiwan,2009,226
Portugal,2004,227
Portugal,2006,227
Austria,2007,228
Sweden,2015,230
Netherlands,2002,231
Sweden,2011,232
Argentina,2001,236
Netherlands,2001,239
Portugal,2003,239
Australia,2010,239
Portugal,2001,240
Portugal,2000,247
Netherlands,2004,248
Austria,2004,249
Portugal,2002,251
Netherlands,2017,251
Austria,2005,253
Sweden,2016,254
Argentina,2004,260
Netherlands,2000,267
Turkey,2001,271
Taiwan,2001,272
Austria,2006,275
Sweden,2002,276
Sweden,2017,276
Taiwan,2007,283
Sweden,2001,286
Portugal,2018,294
Malaysia,2000,295
Slovakia,2006,295
Sweden,2000,296
Sweden,2008,299
Poland,2003,300
Taiwan,2006,303
Netherlands,2018,303
Belgium,2018,309
Poland,2002,310
Australia,2001,319
Argentina,2005,320
Sweden,2003,323
Sweden,2005,324
Australia,2008,324
Sweden,2006,327
Australia,2006,328
Australia,2007,332
Taiwan,2002,337
Sweden,2004,339
Argentina,2000,340
Sweden,2018,340
Australia,2002,344
Turkey,2002,347
Australia,2000,348
Malaysia,2001,359
Sweden,2007,361
Taiwan,2000,365
South Africa,2009,374
Belgium,2017,378
Poland,2001,387
Taiwan,2003,387
Australia,2005,389
Belgium,2016,399
Australia,2004,405
Belgium,2015,409
Australia,2003,413
Turkey,2000,431
Taiwan,2004,431
Argentina,2006,432
Czech Republicb,2003,442
Taiwan,2005,446
Czech Republicb,2002,447
Czech Republicb,2004,448
Czech Republicb,2000,455
Slovakia,2009,463
Czech Republicb,2001,465
South Africa,2010,472
Argentina,2018,491
Argentina,2016,493
Argentina,2017,496
Argentina,2009,513
Belgium,2013,514
South Africa,2005,516
Belgium,2014,516
South Africa,2011,533
Turkey,2003,534
South Africa,2007,534
Belgium,2009,537
South Africa,2012,539
Belgium,2012,540
Argentina,2015,543
Argentina,2007,545
South Africa,2013,546
Belgium,2010,555
Poland,2000,556
South Africa,2008,563
Slovakia,2010,563
South Africa,2014,566
Slovakia,2007,571
Slovakia,2008,576
South Africa,2016,578
South Africa,2017,581
Slovakia,2011,586
South Africa,2006,588
Poland,2013,588
Poland,2014,589
Poland,2004,592
South Africa,2015,592
South Africa,2018,595
Argentina,2008,597
Belgium,2011,601
Czech Republicb,2005,605
Poland,2005,612
Argentina,2014,617
Poland,2012,645
Poland,2015,656
Italy,2013,658
Italy,2012,672
Poland,2016,676
Poland,2017,685
Italy,2014,698
Poland,2006,716
Russia,2009,722
Argentina,2010,724
Belgium,2008,725
Argentina,2012,764
Italy,2011,790
Argentina,2013,791
India,2000,796
Turkey,2004,823
India,2001,825
Argentina,2011,829
Belgium,2007,834
Poland,2011,835
Italy,2010,836
Italy,2009,843
Slovakia,2012,844
Czech Republicb,2006,855
Turkey,2009,870
Poland,2007,875
Turkey,2005,879
India,2002,892
Belgium,2004,895
Poland,2010,895
Slovakia,2014,902
Belgium,2003,904
Slovakia,2013,906
Poland,2009,907
Belgium,2006,918
Belgium,2005,927
Czech Republicb,2007,939
Czech Republicb,2008,946
Slovakia,2015,957
Slovakia,2016,973
Slovakia,2017,974
Czech Republicb,2009,975
Turkey,2006,988
Poland,2008,1006
Italy,2015,1014
Italy,2008,1024
Belgium,2000,1033
Italy,2005,1038
Belgium,2002,1056
Turkey,2012,1073
Czech Republicb,2010,1076
United Kingdom,2009,1090
Slovakia,2018,1093
Turkey,2010,1095
Turkey,2007,1099
Italy,2016,1103
Turkey,2013,1126
Czech Republicb,2013,1133
Italy,2004,1142
Italy,2017,1142
Turkey,2008,1147
India,2003,1161
Turkey,2014,1170
Czech Republicb,2012,1179
Belgium,2001,1187
Turkey,2011,1189
Czech Republicb,2011,1200
Russia,2000,1203
Italy,2006,1212
Russia,2002,1220
Russia,2001,1250
Czech Republicb,2014,1251
Russia,2003,1280
Italy,2007,1284
Czech Republicb,2015,1304
Russia,2016,1304
Italy,2003,1322
Czech Republicb,2016,1350
Russia,2005,1353
Turkey,2015,1359
Russia,2015,1379
Russia,2004,1385
United Kingdom,2010,1393
Russia,2010,1404
Czech Republicb,2017,1420
Italy,2002,1427
Czech Republicb,2018,1443
United Kingdom,2011,1464
Turkey,2016,1486
Canada,2009,1490
Russia,2006,1507
India,2004,1511
Turkey,2018,1550
Russia,2017,1551
Mexico,2004,1553
Mexico,2009,1561
Mexico,2003,1575
United Kingdom,2012,1576
Italy,2001,1580
United Kingdom,2013,1597
United Kingdom,2014,1599
United Kingdom,2018,1604
India,2005,1642
United Kingdom,2008,1649
United Kingdom,2006,1650
Brazil,2000,1671
Russia,2007,1672
Turkey,2017,1674
United Kingdom,2015,1682
Mexico,2005,1684
United Kingdom,2001,1685
Italy,2000,1738
